Model,Best k,Validation Accuracy,Test Accuracy,Test F1,Train Time (s),Test Prediction Time (s)
k-NN,1,0.9704166666666667,0.9691,0.9688900782296754,0.03851509094238281,21.30638837814331
MLP,,0.976,0.9779,0.9778458572379647,50.06967878341675,0.42397522926330566
